n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.5058517034068137,839986481723447.0,0.45717864783251494,0.04867305557429878,3.252108811017726e-12,1.1605136069990746e-11,1.2411985424838676e-11,0.2620135860383509,1.0695251955670153,0.10646397377711722,0.8162359940978626,0.5031719135159414,-74.15487255966023,2.9331274387293007,36.84540606191186
0.506933867735471,841783457795591.1,0.4581590231249307,0.04877484461054034,3.2487135986678453e-12,1.164772255554923e-11,1.2531962169872844e-11,0.25923423280656205,1.0759152366573448,0.10645833029297434,0.8159181404055248,0.5026365783038446,-74.30357728295195,2.862053124355292,36.69421332642291
0.5080160320641283,843580433867735.5,0.4591396662917835,0.04887636577234476,3.2453378912514547e-12,1.1690549973703262e-11,1.2653210718039717e-11,0.25648335142514994,1.0823452058715686,0.1064520653749916,0.8156008666685503,0.5021022549759533,-74.45222913279919,2.7912670502598367,36.543094552341245
0.5090981963927856,845377409939879.8,0.46012057802387496,0.048977618368910694,3.2419815735595954e-12,1.1733619900721568e-11,1.2775744786061945e-11,0.2537606713227808,1.088815292651187,0.10644518134628901,0.815284172679555,0.501568940386268,-74.60082861123085,2.7207675254029056,36.39204926008139
0.5101803607214429,847174386012023.9,0.46110175900899536,0.04907860171244753,3.2386445314766035e-12,1.1776933927480353e-11,1.2899578224449624e-11,0.2510659244143453,1.0953256852659832,0.10643768051964878,0.8149680582278345,0.5010366314034097,-74.74937621873956,2.6505528762691064,36.24107697093454
0.5112625250501002,848971362084168.2,0.46208320993193547,0.049179315118164715,3.2353266519678386e-12,1.1820493659600454e-11,1.3024725018200616e-11,0.24839884507709964,1.1018765707489806,0.1064295651975946,0.8146525230993956,0.5005053249105308,-74.89787245429041,2.5806214466528594,36.09017720706676
0.5123446893787575,850768338156312.6,0.4630649314744961,0.04927975790426141,3.2320278230675848e-12,1.1864300717586106e-11,1.3151199287483729e-11,0.24575917012706006,1.108468134829901,0.10642083767247132,0.814337567076989,0.4999750178052272,-75.0463178153293,2.510971597446936,35.93934949151772
0.5134268537074149,852565314228457.1,0.464046924315499,0.04937992939191592,3.2287479338671225e-12,1.1908356736965584e-11,1.3279015288302393e-11,0.24314663879567608,1.1151005618669492,0.10641150022652278,0.8140231899401399,0.49944570699945184,-75.19471279779121,2.4416017064342412,35.78859334819916
0.5145090180360722,854362290300601.2,0.46502918913079644,0.04947982890527573,3.225486874502957e-12,1.1952663368433834e-11,1.340818741313989e-11,0.24056099270674067,1.121774034777052,0.10640155513196999,0.8137093914651785,0.49891738941942765,-75.34305789610842,2.3725101680827443,35.63790830189366
0.5155911823647295,856159266372745.4,0.46601172659328205,0.04957945577144743,3.2222445361452074e-12,1.1997222277996761e-11,1.3538730191583613e-11,0.23800197585356447,1.1284887349644275,0.10639100465108801,0.8133961714252722,0.4983900620055617,-75.49135360321864,2.3036953933436095,35.48729387825293
0.5166733466933868,857956242444889.9,0.46699453737289986,0.04967880932048697,3.219020810986158e-12,1.204203514711765e-11,1.3670658290928036e-11,0.2354693345763991,1.1352448422474675,0.10637985103628297,0.8130835295904539,0.4978637217123602,-75.63960041057301,2.235155809452234,35.33674960379658
0.5177555110220442,859753218517034.2,0.4679776221366542,0.04977788888538997,3.215815592228963e-12,1.2087103672865371e-11,1.3803986516755602e-11,0.23296281754010198,1.1420425347839533,0.10636809653016767,0.8127714657276535,0.49733836550834426,-75.78779880814393,2.166889859732592,35.18627500591077
0.5188376753507015,861550194589178.4,0.46896098154861915,0.04987669380208233,3.2126287740765024e-12,1.2132429568064527e-11,1.3938729813493903e-11,0.23048217571205076,1.1488819889945203,0.10635574336563736,0.812459979600726,0.4968139903759659,-75.93594928443292,2.09889600340421,35.03586961284685
0.5199198396793587,863347170661322.6,0.469944616269948,0.04997522340941073,3.209460251720396e-12,1.2178014561447722e-11,1.407490326494851e-11,0.2280271623402974,1.1557633794843554,0.10634279376594391,0.8121490709704816,0.4962905933115248,-76.08405232647829,2.0311727153924366,34.8855329537198
0.5210020040080161,865144146733467.0,0.4709285269588823,0.05007347704913381,3.206309921330152e-12,1.2223860397809617e-11,1.4212522094810709e-11,0.22559753293195184,1.162686878963166,0.10632924994477097,0.8118387395947141,0.4957681713250864,-76.23210841986283,1.9637184861411114,34.73526455850718
0.5220841683366734,866941122805611.1,0.4719127142707608,0.05017145406591257,3.2031776800424873e-12,1.2269968838163218e-11,1.4351601667137482e-11,0.22319304523182054,1.1696526581632198,0.10631511410630612,0.8115289852282295,0.4952467214403989,-76.38011804872112,1.8965318214287912,34.5850639580476
0.5231663326653306,868738098877755.5,0.47289717885802834,0.05026915380730228,3.2000634259507524e-12,1.2316341659898023e-11,1.4492157486805548e-11,0.22081345920124487,1.176660885755709,0.10630038844531554,0.8112198076228735,0.4947262406948133,-76.52808169574716,1.8296112421867505,34.43493068403953
0.524248496993988,870535074949899.8,0.47388192137024465,0.05036657562374338,3.1969670580945336e-12,1.2362980656940436e-11,1.4634205199934788e-11,0.21845853699719747,1.1837117282650857,0.10628507514721562,0.8109112065275599,0.49420672613920247,-76.67599984220162,1.7629552843205545,34.28486426903987
0.5253306613226454,872332051022044.1,0.47486694245409267,0.05046371886855274,3.193888476449387e-12,1.2409887639916089e-11,1.477776059428209e-11,0.21612804295159496,1.190805349981558,0.1062691763881443,0.8106031816882981,0.49368817483788036,-76.82387296791897,1.696562498534103,34.134864246462826
0.5264128256513027,874129027094188.5,0.47585224275338683,0.05056058289791583,3.1908275819166903e-12,1.2457064436314431e-11,1.4922839599604468e-11,0.21382174355082284,1.1979419128716946,0.10625269433503362,0.8102957328482191,0.4931705838685239,-76.97170155131474,1.6304314501559425,33.98493015057866
0.5274949899799599,875926003166332.6,0.47683782290908194,0.050657167070877966,3.187784276313655e-12,1.2504512890655429e-11,1.5069458287988517e-11,0.21153940741549793,1.2051215764869867,0.10623563114567929,0.8099888597476035,0.4926539503220937,-77.11948606939251,1.5645607189686537,33.8350615165122
0.5285771543086173,877722979238476.9,0.4778236835592807,0.05075347074933662,3.1847584623634516e-12,1.255223486465846e-11,1.5217632874146878e-11,0.2092808052804332,1.2123444978704947,0.10621798896881164,0.8096825621239071,0.4921382713027555,-77.26722699775094,1.4989488990404425,33.68525788024181
0.5296593186372747,879519955310621.5,0.4788098253392413,0.05084949329803336,3.1817500436854776e-12,1.2600232237413289e-11,1.5367379715678938e-11,0.2070457099748255,1.219610831461446,0.10619976994416522,0.8093768397117875,0.4916235439278035,-77.41492481059049,1.4335945985593952,33.53551877859813
